state,district,year,max_murder
"UTTAR PRADESH","KUSHI NAGAR",2010,39
"UTTAR PRADESH",PRATAPGARH,2010,39
"ANDHRA PRADESH",VISAKHAPATNAM,2011,39
ASSAM,GOALPARA,2011,39
CHHATTISGARH,BALRAMPUR,2011,39
"MADHYA PRADESH",ANUPPUR,2011,39
MAHARASHTRA,HINGOLI,2011,39
MAHARASHTRA,RAIGAD,2011,39
RAJASTHAN,BIKANER,2011,39
RAJASTHAN,PRATAPGARH,2011,39
"TAMIL NADU","COIMBATORE RURAL",2011,39
"WEST BENGAL",HOWRAH,2011,39
BIHAR,KISHANGANJ,2012,39
CHHATTISGARH,BALRAMPUR,2012,39
HARYANA,MAHENDRAGARH,2012,39
"MADHYA PRADESH",SHAJAPUR,2012,39
ODISHA,BHADRAK,2012,39
ODISHA,NOWRANGPUR,2012,39
"TAMIL NADU",THENI,2012,39
"UTTAR PRADESH",GONDA,2012,39
"WEST BENGAL","HOWRAH CITY",2012,39
"DELHI UT",SOUTH,2012,39
"JAMMU & KASHMIR",KULGAM,2001,39
"MADHYA PRADESH",RAISEN,2001,39
ODISHA,ANGUL,2001,39
ODISHA,KORAPUT,2001,39
ODISHA,SAMBALPUR,2001,39
RAJASTHAN,AJMER,2001,39
"UTTAR PRADESH",MAHARAJGANJ,2001,39
"ANDHRA PRADESH",VIJAYAWADA,2002,39
BIHAR,SAHARSA,2002,39
GUJARAT,JAMNAGAR,2002,39
GUJARAT,VALSAD,2002,39
HARYANA,KARNAL,2002,39
JHARKHAND,GARHWA,2002,39
MAHARASHTRA,LATUR,2002,39
MEGHALAYA,"JAINTIA HILLS",2002,39
PUNJAB,FEROZEPUR,2002,39
"UTTAR PRADESH",DEORIA,2002,39
UTTARAKHAND,DEHRADUN,2002,39
"WEST BENGAL",BANKURA,2002,39
"ANDHRA PRADESH",SRIKAKULAM,2003,39
HARYANA,JHAJJAR,2003,39
"JAMMU & KASHMIR",HANDWARA,2003,39
KERALA,THRISSUR,2003,39
RAJASTHAN,JODHPUR,2003,39
JHARKHAND,GARHWA,2004,39
RAJASTHAN,SIKAR,2004,39
"TAMIL NADU",DHARMAPURI,2004,39
ASSAM,"GUWAHATI CITY",2005,39
ASSAM,UDALGURI,2005,39
"JAMMU & KASHMIR",KULGAM,2005,39
MAHARASHTRA,PARBHANI,2005,39
ODISHA,BOLANGIR,2005,39
RAJASTHAN,BIKANER,2005,39
"UTTAR PRADESH",DEORIA,2005,39
ASSAM,CHIRANG,2006,39
BIHAR,JEHANABAD,2006,39
GUJARAT,KUTCH,2006,39
HARYANA,AMBALA,2006,39
"MADHYA PRADESH",BARWANI,2006,39
ODISHA,ANGUL,2006,39
ODISHA,BHADRAK,2006,39
"DELHI UT",EAST,2006,39
GUJARAT,VALSAD,2007,39
HARYANA,AMBALA,2007,39
"ANDHRA PRADESH",SRIKAKULAM,2001,38
GUJARAT,SURENDRANAGAR,2001,38
"MADHYA PRADESH",NARSINGHPUR,2001,38
RAJASTHAN,JHALAWAR,2001,38
TRIPURA,NORTH,2001,38
GUJARAT,PALANPUR,2002,38
RAJASTHAN,JODHPUR,2002,38
"WEST BENGAL","PURAB MIDNAPUR",2002,38
"WEST BENGAL","UTTAR DINAJPUR",2002,38
GUJARAT,"AHMEDABAD RURAL",2003,38
GUJARAT,PALANPUR,2003,38
GUJARAT,"RAJKOT RURAL",2003,38
GUJARAT,"VADODARA COMMR.",2003,38
HARYANA,SIRSA,2003,38
"HIMACHAL PRADESH",KANGRA,2003,38
"JAMMU & KASHMIR",KUPWARA,2003,38
MAHARASHTRA,OSMANABAD,2003,38
PUNJAB,HOSHIARPUR,2003,38
RAJASTHAN,PALI,2003,38
"TAMIL NADU",KANYAKUMARI,2003,38
"TAMIL NADU",THIRUVANNAMALAI,2003,38
TRIPURA,SOUTH,2003,38
"UTTAR PRADESH",BASTI,2003,38
"UTTAR PRADESH",MAU,2003,38
ASSAM,JORHAT,2004,38
BIHAR,SUPAUL,2004,38
GUJARAT,BHARUCH,2004,38
GUJARAT,PALANPUR,2004,38
KARNATAKA,BAGALKOT,2004,38
KARNATAKA,DAVANAGERE,2004,38
MANIPUR,THOUBAL,2004,38
ASSAM,BARPETA,2005,38
KARNATAKA,BIDAR,2005,38
"MADHYA PRADESH",KHANDWA,2005,38
"MADHYA PRADESH",MANDSAUR,2005,38
MANIPUR,IMPHAL(EAST),2005,38
PUNJAB,"TARN TARAN",2005,38
RAJASTHAN,NAGAUR,2005,38
ASSAM,KARIMGANJ,2006,38
ASSAM,KOKRAJHAR,2006,38
CHHATTISGARH,BALRAMPUR,2006,38
JHARKHAND,BOKARO,2006,38
JHARKHAND,KODERMA,2006,38
KARNATAKA,BIDAR,2006,38
KARNATAKA,CHITRADURGA,2006,38
MAHARASHTRA,DHULE,2006,38
MAHARASHTRA,"NASIK COMMR.",2006,38
CHHATTISGARH,KANKER,2007,38
GUJARAT,BHARUCH,2007,38
KARNATAKA,BAGALKOT,2007,38
KERALA,THRISSUR,2007,38
MAHARASHTRA,AKOLA,2007,38
ODISHA,BOLANGIR,2007,38
"TAMIL NADU",DHARMAPURI,2007,38
"UTTAR PRADESH",PILIBHIT,2007,38
ASSAM,DARRANG,2008,38
CHHATTISGARH,KORBA,2008,38
GUJARAT,HIMATNAGAR,2008,38
KERALA,THRISSUR,2008,38
"MADHYA PRADESH",RAJGARH,2008,38
MEGHALAYA,"JAINTIA HILLS",2008,38
RAJASTHAN,BIKANER,2008,38
BIHAR,BAGAHA,2009,38
GUJARAT,PALANPUR,2009,38
JHARKHAND,CHATRA,2009,38
"MADHYA PRADESH",SEONI,2009,38
"TAMIL NADU","MADURAI URBAN",2009,38
"UTTAR PRADESH",BAHRAICH,2009,38
"UTTAR PRADESH",SULTANPUR,2009,38
ASSAM,KAMRUP,2010,38
ASSAM,KARIMGANJ,2010,38
GUJARAT,"RAJKOT COMMR.",2010,38
"MADHYA PRADESH",KHANDWA,2010,38
"MADHYA PRADESH",SHAJAPUR,2010,38
MAHARASHTRA,"AURANGABAD COMMR.",2010,38
MAHARASHTRA,HINGOLI,2010,38
"TAMIL NADU",SIVAGANGAI,2010,38
"UTTAR PRADESH",FAIZABAD,2010,38
"UTTAR PRADESH",KAUSHAMBI,2010,38
"ANDHRA PRADESH",VIZIANAGARAM,2011,38
ASSAM,LAKHIMPUR,2011,38
BIHAR,BAGAHA,2011,38
JHARKHAND,LATEHAR,2011,38
KARNATAKA,CHITRADURGA,2011,38
"MADHYA PRADESH",KHANDWA,2011,38
ODISHA,BHADRAK,2011,38
ODISHA,KALAHANDI,2011,38
ODISHA,KENDRAPARA,2011,38
ODISHA,RAYAGADA,2011,38
PUNJAB,SANGRUR,2011,38
"TAMIL NADU",NAMAKKAL,2011,38
"UTTAR PRADESH",JALAUN,2011,38
"WEST BENGAL","HOWRAH CITY",2011,38
"DELHI UT",NORTH,2011,38
ASSAM,BAKSA,2012,38
CHHATTISGARH,KORIYA,2012,38
JHARKHAND,PAKUR,2012,38
KARNATAKA,BIDAR,2012,38
"MADHYA PRADESH",SEONI,2012,38
ODISHA,NAYAGARH,2012,38
RAJASTHAN,AJMER,2012,38
RAJASTHAN,CHITTORGARH,2012,38
RAJASTHAN,"JAIPUR RURAL",2012,38
"MADHYA PRADESH",KATNI,2007,37
MAHARASHTRA,"AURANGABAD COMMR.",2007,37
MAHARASHTRA,RAIGAD,2007,37
PUNJAB,MOGA,2007,37
RAJASTHAN,BARAN,2007,37
RAJASTHAN,KARAULI,2007,37
"TAMIL NADU",RAMNATHAPURAM,2007,37
"UTTAR PRADESH",AURAIYA,2007,37
UTTARAKHAND,DEHRADUN,2007,37
GUJARAT,"RAJKOT COMMR.",2008,37
KARNATAKA,KOLAR,2008,37
RAJASTHAN,BARAN,2008,37
RAJASTHAN,BHILWARA,2008,37
"TAMIL NADU",PUDUKOTTAI,2008,37
"UTTAR PRADESH",BANDA,2008,37
"UTTAR PRADESH",KANNAUJ,2008,37
"DELHI UT",SOUTH,2008,37
"MADHYA PRADESH",KATNI,2009,37
"MADHYA PRADESH",SINGRAULI,2009,37
MAHARASHTRA,"AURANGABAD COMMR.",2009,37
PUNJAB,MANSA,2009,37
"UTTAR PRADESH",GHAZIPUR,2009,37
"UTTAR PRADESH",JALAUN,2009,37
"UTTAR PRADESH",SONBHADRA,2009,37
GUJARAT,BHARUCH,2010,37
GUJARAT,KUTCH,2010,37
KARNATAKA,KODAGU,2010,37
"MADHYA PRADESH",GUNA,2010,37
"MADHYA PRADESH",KATNI,2010,37
MAHARASHTRA,"NASIK COMMR.",2010,37
"UTTAR PRADESH","AMBEDKAR NAGAR",2010,37
"UTTAR PRADESH",BANDA,2010,37
ASSAM,UDALGURI,2011,37
KARNATAKA,BAGALKOT,2011,37
KARNATAKA,KOLAR,2011,37
"MADHYA PRADESH",KHARGON,2011,37
"MADHYA PRADESH",MANDSAUR,2011,37
"MADHYA PRADESH",TIKAMGARH,2011,37
MAHARASHTRA,GONDIA,2011,37
MAHARASHTRA,"NASIK COMMR.",2011,37
MAHARASHTRA,WARDHA,2011,37
ODISHA,MALKANGIR,2011,37
ODISHA,NAYAGARH,2011,37
ODISHA,SAMBALPUR,2011,37
"UTTAR PRADESH",KANNAUJ,2011,37
"ANDHRA PRADESH","TIRUPATHI URBAN",2012,37
ASSAM,LAKHIMPUR,2012,37
"MADHYA PRADESH",MANDSAUR,2012,37
"MADHYA PRADESH",RATLAM,2012,37
ODISHA,JAGATSINGHPUR,2012,37
ODISHA,KALAHANDI,2012,37
ODISHA,KHURDA,2012,37
PUNJAB,FAZILKA,2012,37
PUNJAB,FEROZPUR,2012,37
PUNJAB,MOGA,2012,37
"UTTAR PRADESH",RAIBAREILLY,2012,37
UTTARAKHAND,DEHRADUN,2012,37
ASSAM,KAMRUP,2001,37
BIHAR,ARWAL,2001,37
CHHATTISGARH,JASHPUR,2001,37
GUJARAT,BHARUCH,2001,37
HARYANA,JIND,2001,37
HARYANA,SIRSA,2001,37
PUNJAB,"TARN TARAN",2001,37
RAJASTHAN,JHUNJHUNU,2001,37
"WEST BENGAL",COOCHBEHAR,2001,37
ASSAM,JORHAT,2002,37
JHARKHAND,PAKUR,2002,37
KARNATAKA,CHITRADURGA,2002,37
"MADHYA PRADESH",BARWANI,2002,37
"MADHYA PRADESH",KHARGON,2002,37
"TAMIL NADU",RAMNATHAPURAM,2002,37
GUJARAT,MEHSANA,2003,37
GUJARAT,"RAJKOT COMMR.",2003,37
KARNATAKA,BIDAR,2003,37
KARNATAKA,RAICHUR,2003,37
KERALA,"TRIVANDRUM RURAL",2003,37
"MADHYA PRADESH",GUNA,2003,37
"MADHYA PRADESH",KHARGON,2003,37
"MADHYA PRADESH",MANDLA,2003,37
"UTTAR PRADESH","KANPUR DEHAT",2003,37
"UTTAR PRADESH","KUSHI NAGAR",2003,37
ASSAM,NALBARI,2004,37
GUJARAT,"RAJKOT COMMR.",2004,37
HARYANA,PANIPAT,2004,37
JHARKHAND,PAKUR,2004,37
RAJASTHAN,BHILWARA,2004,37
"TAMIL NADU",RAMNATHAPURAM,2004,37
"UTTAR PRADESH","AMBEDKAR NAGAR",2004,37
"WEST BENGAL",BANKURA,2004,37
"WEST BENGAL",KOLKATA,2004,37
HARYANA,JIND,2005,37
"JAMMU & KASHMIR",ANANTNAG,2005,37
KERALA,PALAKKAD,2005,37
"MADHYA PRADESH",DATIYA,2005,37
MAHARASHTRA,JALNA,2005,37
"ANDHRA PRADESH",VISAKHAPATNAM,2006,37
ASSAM,JORHAT,2006,37
GUJARAT,BHARUCH,2006,37
GUJARAT,"KHEDA NORTH",2006,37
HARYANA,SIRSA,2006,37
"MADHYA PRADESH",GUNA,2006,37
"MADHYA PRADESH",TIKAMGARH,2006,37
ODISHA,BARAGARH,2006,37
ODISHA,RAYAGADA,2006,37
ASSAM,UDALGURI,2007,37
BIHAR,BAGAHA,2007,37
GUJARAT,"RAJKOT COMMR.",2007,37
BIHAR,NAUGACHIA,2001,36
BIHAR,SAHARSA,2001,36
CHHATTISGARH,RAJNANDGAON,2001,36
GUJARAT,DAHOD,2001,36
"JAMMU & KASHMIR",REASI,2001,36
"MADHYA PRADESH",SIDHI,2001,36
MAHARASHTRA,"AURANGABAD COMMR.",2001,36
MAHARASHTRA,HINGOLI,2001,36
NAGALAND,DIMAPUR,2001,36
ODISHA,MALKANGIR,2001,36
PUNJAB,AMRITSAR,2001,36
RAJASTHAN,BARAN,2001,36
"TAMIL NADU",NAGAPATTINAM,2001,36
"TAMIL NADU",NAMAKKAL,2001,36
UTTARAKHAND,NAINITAL,2001,36
"WEST BENGAL","UTTAR DINAJPUR",2001,36
JHARKHAND,DEOGHAR,2002,36
KARNATAKA,CHICKMAGALUR,2002,36
KERALA,ERNAKULAM,2002,36
"MADHYA PRADESH",RAJGARH,2002,36
"MADHYA PRADESH",RATLAM,2002,36
MAHARASHTRA,BHANDARA,2002,36
ODISHA,MALKANGIR,2002,36
"TAMIL NADU",SIVAGANGAI,2002,36
BIHAR,SHEIKHPURA,2003,36
CHHATTISGARH,RAJNANDGAON,2003,36
KERALA,KOLLAM,2003,36
"MADHYA PRADESH",PANNA,2003,36
"UTTAR PRADESH",HAMIRPUR,2003,36
ASSAM,BONGAIGAON,2004,36
BIHAR,ARWAL,2004,36
GUJARAT,"RAJKOT RURAL",2004,36
GUJARAT,VALSAD,2004,36
JHARKHAND,DEOGHAR,2004,36
KERALA,"TRIVANDRUM RURAL",2004,36
"MADHYA PRADESH",KHANDWA,2004,36
"MADHYA PRADESH",SHAHDOL,2004,36
PUNJAB,BHATINDA,2004,36
"TAMIL NADU",VIRUDHUNAGAR,2004,36
"UTTAR PRADESH",MAHOBA,2004,36
"UTTAR PRADESH",MIRZAPUR,2004,36
"WEST BENGAL","UTTAR DINAJPUR",2004,36
"ANDHRA PRADESH",SRIKAKULAM,2005,36
ASSAM,LAKHIMPUR,2005,36
"MADHYA PRADESH","ASHOK NAGAR",2005,36
ODISHA,DHENKANAL,2005,36
"TAMIL NADU","MADURAI RURAL",2005,36
"UTTAR PRADESH",BALLIA,2005,36
BIHAR,NAUGACHIA,2006,36
CHHATTISGARH,KANKER,2006,36
"JAMMU & KASHMIR",KULGAM,2006,36
JHARKHAND,SAHEBGANJ,2006,36
"MADHYA PRADESH",SEONI,2006,36
MANIPUR,THOUBAL,2006,36
PUNJAB,HOSHIARPUR,2006,36
RAJASTHAN,BHILWARA,2006,36
"TAMIL NADU","MADURAI RURAL",2006,36
"TAMIL NADU",THIRUVANNAMALAI,2006,36
"UTTAR PRADESH","CHITRAKOOT DHAM",2006,36
"UTTAR PRADESH",HAMIRPUR,2006,36
BIHAR,BUXAR,2007,36
ODISHA,BALASORE,2007,36
PUNJAB,SANGRUR,2007,36
RAJASTHAN,SIKAR,2007,36
"WEST BENGAL",KOLKATA,2007,36
ASSAM,GOALPARA,2008,36
CHHATTISGARH,JANJGIR,2008,36
GUJARAT,"AHMEDABAD RURAL",2008,36
GUJARAT,BHARUCH,2008,36
GUJARAT,"KHEDA NORTH",2008,36
KARNATAKA,CHAMARAJNAGAR,2008,36
KERALA,"ERNAKULAM RURAL",2008,36
"MADHYA PRADESH",KHANDWA,2008,36
MAHARASHTRA,WARDHA,2008,36
RAJASTHAN,CHITTORGARH,2008,36
RAJASTHAN,"KOTA CITY",2008,36
RAJASTHAN,NAGAUR,2008,36
BIHAR,SUPAUL,2009,36
GUJARAT,ANAND,2009,36
HARYANA,SIRSA,2009,36
HARYANA,YAMUNANAGAR,2009,36
KERALA,PALAKKAD,2009,36
"MADHYA PRADESH",DATIYA,2009,36
ODISHA,KORAPUT,2009,36
ODISHA,MALKANGIR,2009,36
PUNJAB,"TARN TARAN",2009,36
RAJASTHAN,BARAN,2009,36
RAJASTHAN,BHILWARA,2009,36
"UTTAR PRADESH","AMBEDKAR NAGAR",2009,36
BIHAR,KISHANGANJ,2010,36
"MADHYA PRADESH",ANUPPUR,2010,36
"MADHYA PRADESH",RAJGARH,2010,36
ODISHA,BARAGARH,2010,36
ODISHA,MALKANGIR,2010,36
GUJARAT,"AHMEDABAD RURAL",2011,36
GUJARAT,"SURAT RURAL",2011,36
HARYANA,KAITHAL,2011,36
"MADHYA PRADESH",MANDLA,2011,36
MEGHALAYA,"KHASI HILLS EAST",2011,36
ODISHA,KANDHAMAL,2011,36
TRIPURA,SOUTH,2011,36
"UTTAR PRADESH",RAIBAREILLY,2011,36
ASSAM,DARRANG,2012,36
ASSAM,JORHAT,2012,36
ASSAM,KARIMGANJ,2012,36
JHARKHAND,LOHARDAGGA,2012,36
"MADHYA PRADESH",KATNI,2012,36
"MADHYA PRADESH",RAJGARH,2012,36
"MADHYA PRADESH",SINGRAULI,2012,36
ODISHA,"DCP CTC",2012,36
RAJASTHAN,JHUNJHUNU,2012,36
"UTTAR PRADESH",HAMIRPUR,2012,36
"UTTAR PRADESH","KUSHI NAGAR",2012,36
"MADHYA PRADESH",RATLAM,2007,35
"MADHYA PRADESH",SHAJAPUR,2007,35
"MADHYA PRADESH",SIHORE,2007,35
ODISHA,JAJPUR,2007,35
"UTTAR PRADESH",SONBHADRA,2007,35
BIHAR,JEHANABAD,2008,35
GUJARAT,BHAVNAGAR,2008,35
GUJARAT,SURENDRANAGAR,2008,35
KERALA,"TRIVANDRUM RURAL",2008,35
MAHARASHTRA,GONDIA,2008,35
ODISHA,BARAGARH,2008,35
"TAMIL NADU",THIRUVALLUR,2008,35
TRIPURA,SOUTH,2008,35
GUJARAT,KUTCH,2009,35
GUJARAT,PANCHMAHAL,2009,35
GUJARAT,"RAJKOT COMMR.",2009,35
HARYANA,AMBALA,2009,35
GUJARAT,"KHEDA NORTH",2010,35
HARYANA,AMBALA,2010,35
JHARKHAND,LOHARDAGGA,2010,35
PUNJAB,MANSA,2010,35
RAJASTHAN,KARAULI,2010,35
RAJASTHAN,"KOTA CITY",2010,35
RAJASTHAN,PRATAPGARH,2010,35
"UTTAR PRADESH",JALAUN,2010,35
"DELHI UT",SOUTH,2010,35
"ANDHRA PRADESH","VIJAYAWADA CITY",2011,35
GUJARAT,HIMATNAGAR,2011,35
GUJARAT,"KUTCH (EAST(G))",2011,35
GUJARAT,VALSAD,2011,35
KARNATAKA,DAVANAGERE,2011,35
"MADHYA PRADESH",RATLAM,2011,35
MAHARASHTRA,WASHIM,2011,35
ODISHA,JAGATSINGHPUR,2011,35
RAJASTHAN,JALORE,2011,35
RAJASTHAN,"KOTA CITY",2011,35
"TAMIL NADU","MADURAI URBAN",2011,35
"TAMIL NADU",PUDUKOTTAI,2011,35
"ANDHRA PRADESH",SRIKAKULAM,2012,35
ASSAM,"KARBI ANGLONG",2012,35
"MADHYA PRADESH",ANUPPUR,2012,35
MAHARASHTRA,NANDURBAR,2012,35
"UTTAR PRADESH","AMBEDKAR NAGAR",2012,35
"UTTAR PRADESH","CSM NAGAR",2012,35
"UTTAR PRADESH",DEORIA,2012,35
"DELHI UT",CENTRAL,2012,35
BIHAR,MADHUBANI,2001,35
CHHATTISGARH,KORIYA,2001,35
"MADHYA PRADESH",MANDLA,2001,35
"MADHYA PRADESH",SIHORE,2001,35
MANIPUR,CHURACHANDPUR,2001,35
MEGHALAYA,"JAINTIA HILLS",2001,35
ODISHA,CUTTACK,2001,35
ODISHA,RAYAGADA,2001,35
RAJASTHAN,KARAULI,2001,35
TRIPURA,DHALAI,2001,35
"UTTAR PRADESH",CHANDOLI,2001,35
"UTTAR PRADESH",SHRAWASTI,2001,35
"WEST BENGAL",BANKURA,2001,35
BIHAR,NAUGACHIA,2002,35
CHHATTISGARH,KANKER,2002,35
GUJARAT,KUTCH,2002,35
GUJARAT,"RAJKOT COMMR.",2002,35
HARYANA,BHIWANI,2002,35
KARNATAKA,"DHARWAD RURAL",2002,35
KARNATAKA,KODAGU,2002,35
"MADHYA PRADESH",PANNA,2002,35
"TAMIL NADU",THIRUVANNAMALAI,2002,35
ASSAM,NALBARI,2003,35
JHARKHAND,CHATRA,2003,35
KARNATAKA,"DAKSHIN KANNADA",2003,35
"MADHYA PRADESH",KATNI,2003,35
"MADHYA PRADESH",RAISEN,2003,35
RAJASTHAN,BANSWARA,2003,35
RAJASTHAN,KOTA,2003,35
"TAMIL NADU",THENI,2003,35
ASSAM,GOALPARA,2004,35
GUJARAT,HIMATNAGAR,2004,35
MAHARASHTRA,HINGOLI,2004,35
MAHARASHTRA,NANDURBAR,2004,35
ODISHA,DHENKANAL,2004,35
PUNJAB,HOSHIARPUR,2004,35
PUNJAB,MOGA,2004,35
RAJASTHAN,BARAN,2004,35
CHHATTISGARH,KORBA,2005,35
GUJARAT,BHARUCH,2005,35
GUJARAT,KUTCH,2005,35
GUJARAT,"RAJKOT RURAL",2005,35
"JAMMU & KASHMIR",POONCH,2005,35
JHARKHAND,PAKUR,2005,35
KARNATAKA,CHICKMAGALUR,2005,35
KARNATAKA,"DAKSHIN KANNADA",2005,35
PUNJAB,MAJITHA,2005,35
RAJASTHAN,BHILWARA,2005,35
"ANDHRA PRADESH",VIZIANAGARAM,2006,35
CHHATTISGARH,KORIYA,2006,35
GUJARAT,HIMATNAGAR,2006,35
KARNATAKA,BAGALKOT,2006,35
MAHARASHTRA,BHANDARA,2006,35
ODISHA,BALASORE,2006,35
ODISHA,NAYAGARH,2006,35
RAJASTHAN,BIKANER,2006,35
RAJASTHAN,PALI,2006,35
"TAMIL NADU",KANCHIPURAM,2006,35
"UTTAR PRADESH",BALLIA,2006,35
HARYANA,MEWAT,2007,35
HARYANA,PANIPAT,2007,35
"JAMMU & KASHMIR",DODA,2007,35
BIHAR,BAGAHA,2001,34
GUJARAT,KUTCH,2001,34
GUJARAT,"VADODARA COMMR.",2001,34
KERALA,KOTTAYAM,2001,34
KERALA,KOZHIKODE,2001,34
MAHARASHTRA,"NAVI MUMBAI",2001,34
RAJASTHAN,BHILWARA,2001,34
"TAMIL NADU","MADURAI URBAN",2001,34
"TAMIL NADU",THIRUVALLUR,2001,34
ASSAM,KAMRUP,2002,34
"MADHYA PRADESH",MANDSAUR,2002,34
"MADHYA PRADESH",RAISEN,2002,34
MAHARASHTRA,WASHIM,2002,34
PUNJAB,BHATINDA,2002,34
"TAMIL NADU",PUDUKOTTAI,2002,34
UTTARAKHAND,NAINITAL,2002,34
"ANDHRA PRADESH",VIJAYAWADA,2003,34
CHHATTISGARH,KANKER,2003,34
GUJARAT,JAMNAGAR,2003,34
"JAMMU & KASHMIR",JAMMU,2003,34
ODISHA,DHENKANAL,2003,34
PUNJAB,BATALA,2003,34
"UTTAR PRADESH",DEORIA,2003,34
"WEST BENGAL","UTTAR DINAJPUR",2003,34
"JAMMU & KASHMIR",REASI,2004,34
KERALA,IDUKKI,2004,34
KERALA,PALAKKAD,2004,34
PUNJAB,MAJITHA,2004,34
"UTTAR PRADESH",BASTI,2004,34
"UTTAR PRADESH",SONBHADRA,2004,34
BIHAR,SUPAUL,2005,34
CHHATTISGARH,KORIYA,2005,34
GUJARAT,VALSAD,2005,34
JHARKHAND,LATEHAR,2005,34
KARNATAKA,KODAGU,2005,34
"MADHYA PRADESH",NARSINGHPUR,2005,34
MAHARASHTRA,HINGOLI,2005,34
ODISHA,CUTTACK,2005,34
PUNJAB,HOSHIARPUR,2005,34
RAJASTHAN,BARAN,2005,34
"TAMIL NADU",PERAMBALUR,2005,34
"UTTAR PRADESH",MAU,2005,34
KARNATAKA,"DHARWAD RURAL",2006,34
KERALA,KOLLAM,2006,34
ODISHA,DHENKANAL,2006,34
RAJASTHAN,JHUNJHUNU,2006,34
TRIPURA,NORTH,2006,34
"WEST BENGAL","UTTAR DINAJPUR",2006,34
"ANDHRA PRADESH",VIZIANAGARAM,2007,34
ASSAM,N.C.HILLS,2007,34
CHHATTISGARH,BALRAMPUR,2007,34
HARYANA,JIND,2007,34
"MADHYA PRADESH","ASHOK NAGAR",2007,34
"MADHYA PRADESH",PANNA,2007,34
MAHARASHTRA,GONDIA,2007,34
RAJASTHAN,BHILWARA,2007,34
RAJASTHAN,DAUSA,2007,34
"TAMIL NADU",PUDUKOTTAI,2007,34
TRIPURA,SOUTH,2007,34
"WEST BENGAL",COOCHBEHAR,2007,34
"WEST BENGAL","DAKSHIN DINAJPUR",2007,34
"DELHI UT",EAST,2007,34
"ANDHRA PRADESH","VIJAYAWADA CITY",2008,34
BIHAR,MADHEPURA,2008,34
GUJARAT,JAMNAGAR,2008,34
HARYANA,PALWAL,2008,34
KERALA,PALAKKAD,2008,34
"MADHYA PRADESH",MANDLA,2008,34
"MADHYA PRADESH",PANNA,2008,34
ODISHA,BHADRAK,2008,34
RAJASTHAN,JHUNJHUNU,2008,34
"TAMIL NADU",SIVAGANGAI,2008,34
"DELHI UT",CENTRAL,2008,34
"ANDHRA PRADESH","VIJAYAWADA CITY",2009,34
ASSAM,CHIRANG,2009,34
ASSAM,KARIMGANJ,2009,34
GUJARAT,HIMATNAGAR,2009,34
HARYANA,REWARI,2009,34
KARNATAKA,"MYSORE COMMR.",2009,34
KERALA,"ERNAKULAM RURAL",2009,34
KERALA,KOLLAM,2009,34
"MADHYA PRADESH",KHANDWA,2009,34
"MADHYA PRADESH",MANDSAUR,2009,34
"MADHYA PRADESH",SHAJAPUR,2009,34
"MADHYA PRADESH",SIHORE,2009,34
ODISHA,KHURDA,2009,34
PUNJAB,SANGRUR,2009,34
"TAMIL NADU",SIVAGANGAI,2009,34
"TAMIL NADU",THENI,2009,34
"TAMIL NADU",THIRUVALLUR,2009,34
CHHATTISGARH,MAHASAMUND,2010,34
HARYANA,KURUKSHETRA,2010,34
HARYANA,PALWAL,2010,34
KARNATAKA,SHIMOGA,2010,34
"MADHYA PRADESH",SHAHDOL,2010,34
"MADHYA PRADESH",TIKAMGARH,2010,34
ODISHA,BOLANGIR,2010,34
PUNJAB,MOGA,2010,34
RAJASTHAN,BANSWARA,2010,34
"TAMIL NADU","MADURAI URBAN",2010,34
"UTTAR PRADESH",DEORIA,2010,34
"UTTAR PRADESH",PILIBHIT,2010,34
"WEST BENGAL",ASANSOL,2010,34
ASSAM,DARRANG,2011,34
BIHAR,KISHANGANJ,2011,34
BIHAR,SAHARSA,2011,34
CHHATTISGARH,KORBA,2011,34
GUJARAT,BHARUCH,2011,34
ODISHA,BARAGARH,2011,34
ODISHA,"DCP BBSR",2011,34
ODISHA,NOWRANGPUR,2011,34
RAJASTHAN,BANSWARA,2011,34
RAJASTHAN,BHILWARA,2011,34
"TAMIL NADU",THENI,2011,34
"UTTAR PRADESH",DEORIA,2011,34
"UTTAR PRADESH",HAMIRPUR,2011,34
ASSAM,BARPETA,2012,34
GUJARAT,"AHMEDABAD RURAL",2012,34
GUJARAT,DAHOD,2012,34
"MADHYA PRADESH","ASHOK NAGAR",2012,34
MAHARASHTRA,PARBHANI,2012,34
RAJASTHAN,BANSWARA,2012,34
RAJASTHAN,"JODHPUR RURAL",2012,34
"UTTAR PRADESH","CHITRAKOOT DHAM",2012,34
MAHARASHTRA,"NASIK COMMR.",2007,33
BIHAR,NAUGACHIA,2008,33
GUJARAT,JUNAGADH,2008,33
GUJARAT,VALSAD,2008,33
"MADHYA PRADESH",KATNI,2008,33
ODISHA,NAYAGARH,2008,33
PUNJAB,HOSHIARPUR,2008,33
RAJASTHAN,BANSWARA,2008,33
RAJASTHAN,DAUSA,2008,33
RAJASTHAN,"KOTA RURAL",2008,33
RAJASTHAN,PALI,2008,33
"UTTAR PRADESH","AMBEDKAR NAGAR",2008,33
"UTTAR PRADESH",DEORIA,2008,33
"UTTAR PRADESH",JHANSI,2008,33
"WEST BENGAL","DAKSHIN DINAJPUR",2008,33
GOA,"NORTH GOA",2009,33
GUJARAT,DAHOD,2009,33
HARYANA,FATEHABAD,2009,33
